   1 25
 21
  0 0.1                       D+01
  1 0.1                       D+01
  2 0.2                       D+01
  3 0.6                       D+01
  4 0.24                      D+02
  5 0.120                     D+03
  6 0.720                     D+03
  7 0.5040                    D+04
  8 0.40320                   D+05
  9 0.362880                  D+06
 10 0.3628800                 D+07
 11 0.39916800                D+08
 12 0.479001600               D+09
 13 0.6227020800              D+10
 14 0.87178291200             D+11
 15 0.1307674368000           D+13
 16 0.20922789888000          D+14
 17 0.355687428096000         D+15
 18 0.6402373705728000        D+16
 19 0.121645100408832000      D+18
 20 0.2432902008176640000     D+19
    1
    1 0.430331482911935209464364D+00    2 0.0
    2
    1 0.173369558798609233641776D+00    2-0.311473365763870114195559D-01
    3-0.284444444444444444444444D+00
    3
    1 0.924189858259152407735725D-01    2-0.259944703539421448206808D-01
    3-0.168635451341981992130105D+00    4 0.0
    4
    1 0.572051290644827811738884D-01    2-0.196443365285642394688601D-01
    3-0.108566000364829045869323D+00    4 0.908532876617429857095524D-02
    5 0.123839758125472411186696D+00
    5
    1 0.388344405559084319558896D-01    2-0.149446895041272168448843D-01
    3-0.750276832637148806959752D-01    4 0.107752495529048505442495D-01
    5 0.907317992824435824184735D-01    6 0.0
    6
    1 0.280673122045676245492089D-01    2-0.116281042958853773857668D-01
    3-0.547176638751460610596257D-01    4 0.102754656864181524333407D-01
    5 0.682606643980534673388740D-01    6-0.392149392568375740813861D-02
    7-0.726723603846480969358090D-01
    7
    1 0.212242402494661223049518D-01    2-0.925956286507559472714486D-02
    3-0.415787979229442698958409D-01    4 0.920834131314236691895958D-02
    5 0.528305178818968058880798D-01    6-0.541269215155540175764054D-02
    7-0.582783505361098720431629D-01    8 0.0
    8
    1 0.166078987499687299709270D-01    2-0.752801748235510054207620D-02
    3-0.326231975063684434225690D-01    4 0.808755127756999018965080D-02
    5 0.419348732911827060487610D-01    6-0.580168617147591929870852D-02
    7-0.472965307360725867002431D-01    8 0.208541145853801285173244D-02
    9 0.490673942380252218049952D-01
    9
    1 0.133479633099876277250703D-01    2-0.623109025461611708944829D-02
    3-0.262588686798720008746687D-01    4 0.706844952718457803020996D-02
    5 0.340146319406367072934027D-01    6-0.569874506670137890877712D-02
    7-0.389338045980653278037233D-01    8 0.313044943380661379877079D-02
    9 0.413606807773372293664138D-01   10 0.0
   10
    1 0.109610164947574974489012D-01    2-0.523772715547696913182987D-02
    3-0.215802443139234027230467D-01    4 0.618608879263416621963808D-02
    5 0.281024893908651899578084D-01    6-0.538701009780452008799811D-02
    7-0.324986961455695735994665D-01    8 0.359740156000228401907436D-02
    9 0.350900681597072623465933D-01   10-0.125855969314018266627622D-02
   11-0.359496539841035035667777D-01
   11
    1 0.916118500984259342732913D-02    2-0.446156946116653856560275D-02
    3-0.180433895012341224780512D-01    4 0.543558697558572011627448D-02
    5 0.235848357982040087344786D-01    6-0.499969425512873015960184D-02
    7-0.274768840016123700895891D-01    8 0.374478059327515279146905D-02
    9 0.300148297917771379431858D-01   10-0.199235289566752626716943D-02
   11-0.312746993456720435873004D-01   12 0.0
   12
    1 0.777066476527375659339239D-02    2-0.384438231305951789017157D-02
    3-0.153063784600568099975704D-01    4 0.480041084876724753856037D-02
    5 0.200614806382499663732955D-01    6-0.459950902741442974148218D-02
    7-0.235004666897280112290013D-01    8 0.371720190924908872704105D-02
    9 0.258927584754494286752100D-01   10-0.239735332593166960788013D-02
   11-0.273143528831612470080973D-01   12 0.826533283616460638900209D-03
   13 0.277867855574914738555685D-01
   13
    1 0.667417616709042316980954D-02    2-0.334595954641219016565206D-02
    3-0.131458639885256430470962D-01    4 0.426237668349051721152651D-02
    5 0.172641109599296685989171D-01    6-0.421518490055725453482610D-02
    7-0.203075575240516476751178D-01    8 0.359633836574305443489228D-02
    9 0.225211872918219360270897D-01   10-0.259700917681989331806930D-02
   11-0.239790651849861224290440D-01   12 0.135722826867310638293246D-02
   13 0.247047474475972896087705D-01   14 0.0
   14
    1 0.579432977183387104057798D-02    2-0.293791583051057392529816D-02
    3-0.114111055256026899949020D-01    4 0.380496846253899983051381D-02
    5 0.150081365268316043032293D-01    6-0.385880034113288649360257D-02
    7-0.177103397001867776480799D-01    8 0.342873908857362803322011D-02
    9 0.197402880600986169416398D-01   10-0.266876900131492807225171D-02
   11-0.211689943268103815330670D-01   12 0.168723038748694955747143D-02
   13 0.220210779255104277912224D-01   14-0.576586035119372823377181D-03
   15-0.223045189243929740145281D-01
   15
    1 0.507761161770320496437530D-02    2-0.259979536705119798261881D-02
    3-0.999746133812866901686667D-02    4 0.341418238024736784599358D-02
    5 0.131635511280795226232626D-01    6-0.353424378409118370574350D-02
    7-0.155724715835693658558736D-01    8 0.324104999157260736489344D-02
    9 0.174265738266021536346068D-01   10-0.266144318450877698027951D-02
   11-0.187932302429852414799978D-01   12 0.188145166065433913668033D-02
   13 0.196974104536882410526342D-01   14-0.972452035892318294105719D-03
   15-0.201481207680697124248066D-01   16 0.0
   16
    1 0.448606215231395714988678D-02    2-0.231657856426435919551271D-02
    3-0.883049200805605184048961D-02    4 0.307848393303631768639739D-02
    5 0.116368333077932011528194D-01    6-0.324144052820631775574048D-02
    7-0.137936129551408235823919D-01    8 0.304846352727742501110811D-02
    9 0.154850927755032110970323D-01   10-0.260600456026859865249227D-02
   11-0.167747632490772303719784D-01   12 0.198391532488588567648719D-02
   13 0.176874315313618100783294D-01   14-0.123859245975387015231635D-02
   15-0.182327922561070339702168D-01   16 0.420841455445774057181193D-03
   17 0.184143051465134072238336D-01
   17
    1 0.399215136746732018989226D-02    2-0.207704883743510269217244D-02
    3-0.785609582107753568137406D-02    4 0.278848571888441036733605D-02
    5 0.103594134220321131923468D-01    6-0.297849544311943229695085D-02
    7-0.122988854129540513710066D-01    8 0.285949479591284018101922D-02
    9 0.138426608504604555938411D-01   10-0.252223066446892071232000D-02
   11-0.150503237717188148428509D-01   12 0.202451814396743603888197D-02
   13 0.159461661063283376030258D-01   14-0.141183981742514017347452D-02
   15-0.165402971773240113883243D-01   16 0.724386493634702702675927D-03
   17 0.168367025914545036188116D-01   18 0.0
   18
    1 0.357552058682986719270640D-02    2-0.187270000974178433105399D-02
    3-0.703420077612971654308737D-02    4 0.253657589467068549197471D-02
